EmployerId,Offered,Status
575821200,ProductX,Sold
477925825,ProductX,Lost
235841361,ProductX,Lost
643379495,ProductX,Lost
546055646,ProductX,Sold
216226013,ProductX,Sold
589498954,ProductX,Lost
567085545,ProductX,Lost
652750336,ProductX,Lost
627697,ProductX,Sold
598778685,ProductX,Lost
645301393,ProductX,Sold
533185304,ProductX,Lost
594487131,ProductX,Sold
650523687,ProductX,Lost
598729558,ProductX,Sold
694041121,ProductX,Sold
620519971,ProductX,Lost
316400509,ProductX,Lost
591946931,ProductX,Sold
650620983,ProductX,Lost
364472580,ProductX,Lost
121777936,ProductX,Lost
623887083,ProductX,Sold
435376,ProductX,Lost
305085577,ProductX,Lost
95005132,ProductX,Lost
459864,ProductX,Lost
721329,ProductX,Sold
589509829,ProductX,Lost
217897633,ProductX,Lost
493817240,ProductX,Lost
365592701,ProductX,Lost
667978748,ProductX,Lost
302234907,ProductX,Sold
705678159,ProductX,Sold
514166611,ProductX,Lost
267745537,ProductX,Lost
576052055,ProductX,Lost
697940954,ProductX,Lost
650278187,ProductX,Sold
60733006,ProductX,Lost
460007095,ProductX,Lost
452478636,ProductX,Lost
524245,ProductX,Lost
203530612,ProductX,Lost
631764145,ProductX,Lost
561797771,ProductX,Lost
66717745,ProductX,Lost
680343,ProductX,Lost
529665,ProductX,Lost
647639394,ProductX,Lost
599402,ProductX,Sold
583130,ProductX,Sold
585089,ProductX,Lost
477441359,ProductX,Sold
416218930,ProductX,Sold
628650897,ProductX,Lost
543625,ProductX,Lost
379373776,ProductX,Lost
723754,ProductX,Lost
476997061,ProductX,Sold
109860264,ProductX,Lost
685680777,ProductX,Sold
707802680,ProductX,Sold
648153053,ProductX,Lost
578301148,ProductX,Lost
236797683,ProductX,Lost
473720,ProductX,Lost
465370,ProductX,Lost
410661645,ProductX,Lost
733770,ProductX,Lost
564695078,ProductX,Lost
588292,ProductX,Lost
432599,ProductX,Lost
470966,ProductX,Lost
570187898,ProductX,Lost
510066911,ProductX,Lost
688011355,ProductX,Lost
650278178,ProductX,Sold
194516325,ProductX,Lost
455195419,ProductX,Sold
293842840,ProductX,Lost
581310,ProductX,Lost
519197822,ProductX,Lost
546914790,ProductX,Sold
209011268,ProductX,Lost
674923,ProductX,Lost
438474,ProductX,Lost
705853947,ProductX,Lost
444449,ProductX,Lost
618814749,ProductX,Sold
622822209,ProductX,Lost
295437975,ProductX,Sold
434766,ProductX,Lost
634157897,ProductX,Lost
685101150,ProductX,Lost
479131505,ProductX,Sold
284232817,ProductX,Lost
824211,ProductX,Lost
509433403,ProductX,Lost
681779375,ProductX,Lost
523473,ProductX,Lost
615711,ProductX,Lost
649420278,ProductX,Sold
481421175,ProductX,Lost
374431583,ProductX,Lost
152296461,ProductX,Lost
702294,ProductX,Lost
638153389,ProductX,Lost
662251,ProductX,Lost
341104087,ProductX,Lost
668889663,ProductX,Lost
465666,ProductX,Lost
507905017,ProductX,Lost
578207203,ProductX,Lost
222317633,ProductX,Lost
257217750,ProductX,Lost
224526609,ProductX,Lost
708177796,ProductX,Lost
524780165,ProductX,Lost
2255318,ProductX,Lost
637388271,ProductX,Sold
696211516,ProductX,Lost
616623502,ProductX,Lost
308159006,ProductX,Lost
350547687,ProductX,Sold
474256,ProductX,Sold
770123,ProductX,Lost
131117076,ProductX,Lost
613049832,ProductX,Sold
656343042,ProductX,Sold
694171463,ProductX,Sold
662322411,ProductX,Sold
484051313,ProductX,Lost
559417313,ProductX,Lost
434768,ProductX,Lost
493754674,ProductX,Lost
578156434,ProductX,Lost
681495,ProductX,Lost
665330,ProductX,Lost
410521751,ProductX,Lost
339242637,ProductX,Lost
657557962,ProductX,Lost
487115,ProductX,Sold
627041468,ProductX,Lost
539363,ProductX,Lost
620564300,ProductX,Lost
624757913,ProductX,Sold
495457,ProductX,Lost
650413676,ProductX,Lost
132966905,ProductX,Lost
309795557,ProductX,Lost
491421580,ProductX,Lost
188580054,ProductX,Lost
764181,ProductX,Lost
620433287,ProductX,Sold
626015705,ProductX,Lost
628983887,ProductX,Sold
685709735,ProductX,Lost
128777227,ProductX,Lost
666349493,ProductX,Sold
118551617,ProductX,Lost
636178144,ProductX,Lost
460272,ProductX,Sold
13426196,ProductX,Lost
616826127,ProductX,Lost
674506994,ProductX,Lost
198858219,ProductX,Lost
504944,ProductX,Lost
604259,ProductX,Lost
49615997,ProductX,Lost
457678867,ProductX,Lost
671851093,ProductX,Sold
807109,ProductX,Lost
304239398,ProductX,Lost
675416974,ProductX,Sold
275102375,ProductX,Sold
186814201,ProductX,Lost
616740967,ProductX,Sold
455532263,ProductX,Lost
471878052,ProductX,Lost
279597808,ProductX,Lost
676818876,ProductX,Lost
642994,ProductX,Sold
275391682,ProductX,Lost
709778011,ProductX,Lost
511294,ProductX,Lost
544644942,ProductX,Sold
581617260,ProductX,Lost
265395329,ProductX,Sold
70489906,ProductX,Lost
600209517,ProductX,Lost
651566455,ProductX,Sold
629094255,ProductX,Lost
435656105,ProductX,Lost
686828293,ProductX,Lost
683857999,ProductX,Lost
655128430,ProductX,Lost
271953334,ProductX,Lost
601299518,ProductX,Lost
439645542,ProductX,Lost
40724237,ProductX,Lost
625847565,ProductX,Sold
653630848,ProductX,Sold
660108080,ProductX,Sold
695259,ProductX,Lost
591423442,ProductX,Lost
778035,ProductX,Lost
553994547,ProductX,Lost
581317,ProductX,Lost
600700,ProductX,Lost
630089249,ProductX,Lost
382822347,ProductX,Lost
683122857,ProductX,Sold
480427,ProductX,Lost
644710346,ProductX,Lost
380193381,ProductX,Sold
271103502,ProductX,Lost
495713,ProductX,Lost
342319048,ProductX,Lost
529927,ProductX,Lost
625774191,ProductX,Lost
791039,ProductX,Sold
508839,ProductX,Lost
433225,ProductX,Lost
560151894,ProductX,Lost
373620405,ProductX,Lost
578519850,ProductX,Lost
541105001,ProductX,Lost
540637,ProductX,Lost
680685360,ProductX,Lost
739977,ProductX,Lost
456870613,ProductX,Sold
488459,ProductX,Lost
701099614,ProductX,Sold
601196503,ProductX,Lost
435025,ProductX,Lost
715390,ProductX,Lost
557042480,ProductX,Sold
435618051,ProductX,Lost
694352238,ProductX,Sold
164275964,ProductX,Lost
555989,ProductX,Lost
645022,ProductX,Lost
838137,ProductX,Lost
650632402,ProductX,Sold
151959402,ProductX,Lost
557782318,ProductX,Lost
618860609,ProductX,Lost
487902855,ProductX,Lost
552714710,ProductX,Lost
595646786,ProductX,Sold
787838,ProductX,Sold
552334,ProductX,Sold
445238380,ProductX,Lost
656010328,ProductX,Sold
523776,ProductX,Lost
673137,ProductX,Lost
660090,ProductX,Lost
558045036,ProductX,Sold
359400446,ProductX,Lost
29863314,ProductX,Sold
449620,ProductX,Lost
650574801,ProductX,Lost
624544997,ProductX,Lost
565445541,ProductX,Sold
572778537,ProductX,Lost
573092247,ProductX,Lost
656769019,ProductX,Lost
278274633,ProductX,Lost
505883,ProductX,Lost
527420094,ProductX,Sold
504038,ProductX,Lost
574774919,ProductX,Lost
734395,ProductX,Lost
623975982,ProductX,Sold
519108524,ProductX,Lost
444258,ProductX,Lost
64888152,ProductX,Lost
782613,ProductX,Lost
629333799,ProductX,Lost
548279979,ProductX,Lost
536790,ProductX,Lost
569366101,ProductX,Lost
225414944,ProductX,Lost
630246998,ProductX,Sold
567774837,ProductX,Lost
729560,ProductX,Lost
560474450,ProductX,Sold
463171352,ProductX,Lost
29945529,ProductX,Sold
487188738,ProductX,Sold
151099490,ProductX,Lost
609336714,ProductX,Lost
431878603,ProductX,Lost
366276003,ProductX,Sold
438479,ProductX,Lost
448789,ProductX,Lost
10770134,ProductX,Lost
439711,ProductX,Lost
630097054,ProductX,Lost
650459856,ProductX,Lost
369647255,ProductX,Lost
817736,ProductX,Sold
279610488,ProductX,Lost
507616500,ProductX,Lost
273904098,ProductX,Lost
662251755,ProductX,Lost
615465613,ProductX,Sold
653519,ProductX,Lost
477741225,ProductX,Sold
281097138,ProductX,Lost
536970,ProductX,Lost
625405856,ProductX,Sold
569241021,ProductX,Lost
268480155,ProductX,Lost
219085064,ProductX,Lost
587018031,ProductX,Lost
609531,ProductX,Lost
852603,ProductX,Lost
355865773,ProductX,Lost
508976,ProductX,Lost
571911,ProductX,Lost
506731389,ProductX,Lost
568623571,ProductX,Lost
622612231,ProductX,Sold
488858,ProductX,Lost
671903,ProductX,Sold
450898474,ProductX,Lost
553181702,ProductX,Lost
570648008,ProductX,Lost
645271064,ProductX,Lost
685850266,ProductX,Lost
238007427,ProductX,Lost
664636127,ProductX,Lost
409623552,ProductX,Sold
224154496,ProductX,Lost
177401241,ProductX,Lost
680496478,ProductX,Lost
574102,ProductX,Lost
693007154,ProductX,Lost
710341159,ProductX,Sold
659810858,ProductX,Sold
245121716,ProductX,Sold
205689424,ProductX,Lost
469028726,ProductX,Lost
